"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count"
"chr19",43764642,43777073,"+","GT","AG",1
"chr19",43769033,43769718,"-","CT","AC",37
"chr19",43769555,43769718,"-","CT","AC",7
"chr19",43769561,43769718,"-","CT","AC",9426
"chr19",43769607,43769718,"-","CT","AC",145
"chr19",43769621,43769718,"-","CT","AC",6
"chr19",43769643,43769718,"-","CT","AC",2
"chr19",43769814,43772058,"-","CT","AC",1
"chr19",43769830,43770951,"-","CT","AC",2
"chr19",43769830,43771999,"-","CT","AC",7909
"chr19",43769830,43780702,"-","CT","AC",4
"chr19",43769850,43772010,"+","GT","AG",2
"chr19",43772104,43772280,"-","CT","AC",5
"chr19",43772104,43773478,"-","CT","AC",18
"chr19",43772104,43773513,"-","CT","AC",1
"chr19",43772104,43773785,"-","CT","AC",21
"chr19",43772104,43774191,"-","CT","AC",590
"chr19",43772104,43774296,"-","CT","AC",2
"chr19",43772104,43774535,"-","CT","AC",1
"chr19",43772104,43776540,"-","CT","AC",2
"chr19",43772104,43780702,"-","CT","AC",87
"chr19",43772104,43781226,"-","CT","AC",2
"chr19",43772132,43773478,"-","CT","AC",12
"chr19",43772132,43773785,"-","CT","AC",4
"chr19",43772132,43774191,"-","CT","AC",306
"chr19",43772132,43774296,"-","CT","AC",1
"chr19",43772132,43776540,"-","CT","AC",1
"chr19",43772132,43780702,"-","CT","AC",31
"chr19",43772132,43784493,"-","CT","AC",1
"chr19",43772136,43772280,"-","CT","AC",6
"chr19",43772136,43773478,"-","CT","AC",64
"chr19",43772136,43773513,"-","CT","AC",13
"chr19",43772136,43773785,"-","CT","AC",30
"chr19",43772136,43774191,"-","CT","AC",7563
"chr19",43772136,43774296,"-","CT","AC",5
"chr19",43772136,43776540,"-","CT","AC",2
"chr19",43772136,43779721,"-","CT","AC",1
"chr19",43772136,43780702,"-","CT","AC",27
"chr19",43772136,43781226,"-","CT","AC",1
"chr19",43772152,43774208,"+","GT","AG",2
"chr19",43772152,43774308,"+","GT","AG",1
"chr19",43773642,43773785,"-","CT","AC",54
"chr19",43773642,43774191,"-","CT","AC",16
"chr19",43773642,43776540,"-","CT","AC",1
"chr19",43773642,43780702,"-","CT","AC",2
"chr19",43773642,43780911,"-","CT","AC",1
"chr19",43773892,43774191,"-","CT","AC",2
"chr19",43773900,43774191,"-","CT","AC",42
"chr19",43773900,43776540,"-","CT","AC",2
"chr19",43773900,43780702,"-","CT","AC",1
"chr19",43774245,43774308,"+","GC","AG",1
"chr19",43774257,43774391,"+","GC","AG",1
"chr19",43774257,43774406,"+","GC","AG",4
"chr19",43774333,43776540,"-","CT","AC",1
"chr19",43774451,43776562,"+","GC","AG",1
"chr19",43774458,43776540,"-","CT","AC",1
"chr19",43774468,43774629,"+","GT","AG",1
"chr19",43774579,43776562,"+","GC","AG",6
"chr19",43774620,43775063,"-","CT","AC",1
"chr19",43774620,43776540,"-","CT","AC",6000
"chr19",43774620,43776546,"-","CT","AC",1
"chr19",43774620,43779271,"-","CT","AC",1
"chr19",43774620,43779721,"-","CT","AC",1
"chr19",43774620,43779850,"-","CT","AC",1
"chr19",43774620,43780698,"-","CT","AC",1
"chr19",43774620,43780702,"-","CT","AC",306
"chr19",43774620,43781226,"-","CT","AC",5
"chr19",43774620,43781236,"-","CT","AC",3
"chr19",43774626,43774971,"+","GT","AG",1
"chr19",43776424,43776540,"-","CT","AC",169
"chr19",43776438,43776540,"-","CT","AC",1
"chr19",43776625,43779740,"+","GT","AG",1
"chr19",43776637,43777251,"-","CT","AC",1
"chr19",43776637,43777400,"-","CT","AC",4
"chr19",43776637,43777467,"-","CT","AC",8
"chr19",43776637,43779271,"-","CT","AC",4
"chr19",43776637,43779721,"-","CT","AC",26
"chr19",43776637,43779850,"-","CT","AC",5
"chr19",43776637,43780702,"-","CT","AC",5009
"chr19",43776637,43780911,"-","CT","AC",5
"chr19",43776637,43781226,"-","CT","AC",133
"chr19",43776637,43781236,"-","CT","AC",49
"chr19",43776639,43780706,"+","GT","AG",2
