"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count"
"chr11",68181234,68465040,"-","CT","AC",4
"chr11",68367988,68417857,"-","CT","AC",4
"chr11",68378963,68434738,"-","CT","AC",2
"chr11",68386588,68410015,"-","CT","AC",1
"chr11",68386713,68409913,"+","GT","AG",2
"chr11",68386713,68411435,"+","GT","AG",3
"chr11",68390053,68409913,"+","GT","AG",16
"chr11",68390053,68411435,"+","GT","AG",3
"chr11",68390053,68416327,"+","GT","AG",1
"chr11",68390053,68416352,"+","GT","AG",1
"chr11",68390053,68423488,"+","GT","AG",7
"chr11",68390053,68425101,"+","GT","AG",3
"chr11",68390053,68446435,"+","GT","AG",2
"chr11",68390116,68425101,"+","GT","AG",1
"chr11",68403700,68409913,"+","GT","AG",21
"chr11",68403700,68411435,"+","GT","AG",5
"chr11",68403700,68413688,"+","GT","AG",1
"chr11",68403700,68423488,"+","GT","AG",1
"chr11",68403700,68436888,"+","GT","AG",1
"chr11",68403700,68446435,"+","GT","AG",2
"chr11",68403700,68448808,"+","GT","AG",1
"chr11",68406814,68409913,"+","GT","AG",21396
"chr11",68406814,68409921,"+","GT","AG",1
"chr11",68406814,68413688,"+","GT","AG",5
"chr11",68406814,68423488,"+","GT","AG",1
"chr11",68406814,68446435,"+","GT","AG",1
"chr11",68406819,68409921,"+","GT","AG",1
"chr11",68408647,68409913,"+","GT","AG",1
"chr11",68410141,68411435,"+","GT","AG",21351
"chr11",68410410,68411435,"+","GT","AG",1
"chr11",68410971,68411201,"-","CT","GC",1
"chr11",68411182,68411435,"+","GT","AG",2
"chr11",68411484,68411583,"-","CT","AC",1
"chr11",68411512,68411553,"-","CT","AC",3
"chr11",68411515,68413744,"+","GT","AG",1
"chr11",68411524,68413136,"+","GT","AG",1
"chr11",68411524,68413688,"+","GT","AG",1
"chr11",68411584,68426063,"-","CT","AC",1
"chr11",68411621,68412616,"+","GT","AG",1
"chr11",68411621,68412657,"+","GT","AG",1
"chr11",68411621,68412769,"+","GT","AG",13
"chr11",68411621,68412779,"+","GT","AG",37
"chr11",68411621,68412915,"+","GT","AG",41
"chr11",68411621,68412958,"+","GT","AG",40
"chr11",68411621,68412969,"+","GT","AG",1
"chr11",68411621,68413079,"+","GT","AG",173
"chr11",68411621,68413087,"+","GT","AG",7
"chr11",68411621,68413136,"+","GT","AG",43
"chr11",68411621,68413688,"+","GT","AG",17212
"chr11",68411621,68413693,"+","GT","AG",11
"chr11",68411621,68416327,"+","GT","AG",14
"chr11",68411621,68418821,"+","GT","AG",1
"chr11",68411621,68420168,"+","GT","AG",5
"chr11",68411621,68423488,"+","GT","AG",32
"chr11",68411621,68425101,"+","GT","AG",1
"chr11",68411621,68438445,"+","GT","AG",2
"chr11",68411621,68446435,"+","GT","AG",2
"chr11",68411990,68413688,"+","GT","AG",1
"chr11",68412959,68413079,"+","GT","AG",10
"chr11",68412959,68413136,"+","GT","AG",1
