"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count","Expressing_Samples"
"chr1",116380046,116400895,"-","CT","AC",1,0
"chr1",116385900,116395988,"+","GT","AG",1,0
"chr1",116389020,116390781,"+","GT","AG",3,1
"chr1",116389708,116392853,"+","GT","AG",1,0
"chr1",116390412,116390781,"+","GT","AG",8752,1
"chr1",116390412,116392853,"+","GT","AG",40,1
"chr1",116390892,116392853,"+","GT","AG",9138,1
"chr1",116392989,116393530,"+","GT","AG",10720,1
"chr1",116392989,116393545,"+","GT","AG",1,0
"chr1",116393005,116393530,"+","GT","AG",10,1
"chr1",116393027,116400895,"-","CT","AC",31,1
"chr1",116393027,116405441,"-","CT","AC",1,0
"chr1",116393027,116405606,"-","CT","AC",4,1
"chr1",116393027,116418458,"-","CT","AC",3,1
"chr1",116393047,116393530,"+","GT","AG",2,0
"chr1",116393724,116395090,"+","GT","AG",10,1
"chr1",116393724,116395109,"+","GT","AG",7554,1
"chr1",116393724,116395133,"+","GT","AG",3,1
"chr1",116393724,116396597,"+","GT","AG",925,1
"chr1",116395286,116396597,"+","GT","AG",11632,1
"chr1",116395520,116396597,"+","GT","AG",2,0
"chr1",116396735,116397887,"+","GT","AG",13631,1
"chr1",116396735,116398620,"+","GT","AG",16,1
"chr1",116398039,116398620,"+","GT","AG",13077,1
"chr1",116398039,116398666,"+","GT","AG",1,0
"chr1",116398775,116398949,"-","CT","AC",1,0
"chr1",116398790,116398929,"+","GT","AG",9510,1
"chr1",116398790,116399419,"+","GT","AG",26,1
"chr1",116398806,116398929,"+","GT","AG",1,0
"chr1",116399085,116399419,"+","GT","AG",10154,1
"chr1",116399315,116400895,"-","CT","AC",22,1
"chr1",116399544,116400860,"+","GT","AG",9408,1
"chr1",116399544,116400871,"+","GT","AG",1,0
"chr1",116399711,116400860,"+","GT","AG",12,1
"chr1",116401007,116401129,"+","GT","AG",12239,1
"chr1",116401090,116401553,"+","GT","AG",6,1
"chr1",116401132,116402735,"-","CT","AC",2,0
"chr1",116401132,116405606,"-","CT","AC",12,1
"chr1",116401132,116406927,"-","CT","AC",1,0
"chr1",116401132,116411260,"-","CT","AC",1,0
"chr1",116401132,116418458,"-","CT","AC",26,1
"chr1",116401219,116402735,"-","CT","AC",2,0
"chr1",116401219,116418458,"-","CT","AC",1,0
"chr1",116401261,116401553,"+","GT","AG",11659,1
"chr1",116401656,116403883,"+","GT","AG",11588,1
"chr1",116401656,116403942,"+","GT","AG",1,0
"chr1",116401656,116404415,"+","GT","AG",11,1
"chr1",116401656,116410134,"+","GT","AG",3,1
"chr1",116403530,116418458,"-","CT","AC",2,0
"chr1",116403711,116405441,"-","CT","AC",1,0
"chr1",116403976,116404415,"+","GT","AG",8875,1
"chr1",116403976,116410134,"+","GT","AG",1,0
"chr1",116404254,116405606,"-","CT","AC",1,0
"chr1",116404537,116404581,"-","CT","AC",1,0
"chr1",116404585,116404629,"-","CT","GC",1,0
"chr1",116405575,116418458,"-","CT","AC",1,0
"chr1",116406135,116410134,"+","GT","AG",1,0
"chr1",116406149,116406675,"-","CT","AC",1,0
"chr1",116406149,116406927,"-","CT","AC",6,1
"chr1",116406149,116407059,"-","CT","AC",1,0
"chr1",116406149,116408060,"-","CT","AC",1,0
"chr1",116406149,116411260,"-","CT","AC",7,1
"chr1",116406149,116416148,"-","CT","AC",1,0
"chr1",116406149,116418458,"-","CT","AC",107,1
"chr1",116406399,116410134,"+","GT","AG",9,1
"chr1",116407196,116418458,"-","CT","AC",3,1
"chr1",116407251,116418458,"-","CT","AC",2,0
"chr1",116408136,116418458,"-","CT","AC",1,0
"chr1",116410198,116415002,"+","GT","AG",1,0
"chr1",116411316,116411619,"-","CT","AC",1,0
"chr1",116411316,116413850,"-","CT","AC",1,0
"chr1",116411316,116418458,"-","CT","AC",9,1
"chr1",116413914,116417659,"-","CT","AC",1,0
"chr1",116413914,116418458,"-","CT","AC",86,1
"chr1",116416387,116418458,"-","CT","AC",1,0
"chr1",116417738,116418458,"-","CT","AC",1,0
"chr1",116417948,116418458,"-","CT","AC",1,0
