"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count","Expressing_Samples"
"chr19",43662421,43822492,"-","CT","AC",3,1
"chr19",43760511,43805743,"+","GT","AG",1,0
"chr19",43766747,43772831,"-","CT","AC",1,0
"chr19",43767090,43774191,"-","CT","AC",1,0
"chr19",43767090,43781236,"-","CT","AC",2,0
"chr19",43769033,43769718,"-","CT","AC",286,1
"chr19",43769033,43769731,"-","CT","AC",1,0
"chr19",43769033,43769757,"-","CT","AC",1,0
"chr19",43769033,43781236,"-","CT","AC",1,0
"chr19",43769499,43769718,"-","CT","AC",1,0
"chr19",43769555,43769718,"-","CT","AC",10,1
"chr19",43769561,43769718,"-","CT","AC",22462,1
"chr19",43769561,43780702,"-","CT","AC",5,1
"chr19",43769607,43769718,"-","CT","AC",268,1
"chr19",43769621,43769718,"-","CT","AC",14,1
"chr19",43769643,43769718,"-","CT","AC",6,1
"chr19",43769814,43772058,"-","CT","AC",2,0
"chr19",43769830,43770494,"-","CT","AC",1,0
"chr19",43769830,43771999,"-","CT","AC",20030,1
"chr19",43769830,43774191,"-","CT","AC",8,1
"chr19",43769830,43780702,"-","CT","AC",9,1
"chr19",43769861,43771999,"-","CT","AC",1,0
"chr19",43770666,43771999,"-","CT","AC",1,0
"chr19",43771418,43775484,"+","GT","AG",1,0
"chr19",43771571,43771999,"-","CT","AC",6,1
"chr19",43772054,43772074,"+","GT","AG",1,0
"chr19",43772104,43772280,"-","CT","AC",23,1
"chr19",43772104,43773478,"-","CT","AC",108,1
"chr19",43772104,43773513,"-","CT","AC",3,1
"chr19",43772104,43773785,"-","CT","AC",38,1
"chr19",43772104,43774191,"-","CT","AC",2328,1
"chr19",43772104,43774296,"-","CT","AC",20,1
"chr19",43772104,43774535,"-","CT","AC",3,1
"chr19",43772104,43776540,"-","CT","AC",1,0
"chr19",43772104,43779271,"-","CT","AC",1,0
"chr19",43772104,43780702,"-","CT","AC",167,1
"chr19",43772104,43780911,"-","CT","AC",2,0
"chr19",43772104,43781226,"-","CT","AC",2,0
"chr19",43772104,43781236,"-","CT","AC",2,0
"chr19",43772111,43776562,"+","GT","AG",1,0
"chr19",43772132,43772280,"-","CT","AC",4,1
"chr19",43772132,43773478,"-","CT","AC",37,1
"chr19",43772132,43773513,"-","CT","AC",4,1
"chr19",43772132,43773785,"-","CT","AC",7,1
"chr19",43772132,43774191,"-","CT","AC",757,1
"chr19",43772132,43774296,"-","CT","AC",2,0
"chr19",43772132,43776540,"-","CT","AC",2,0
"chr19",43772132,43780702,"-","CT","AC",53,1
"chr19",43772132,43780911,"-","CT","AC",1,0
"chr19",43772132,43781226,"-","CT","AC",1,0
"chr19",43772132,43784493,"-","CT","AC",4,1
"chr19",43772136,43772280,"-","CT","AC",24,1
"chr19",43772136,43773478,"-","CT","AC",215,1
"chr19",43772136,43773513,"-","CT","AC",11,1
"chr19",43772136,43773785,"-","CT","AC",83,1
"chr19",43772136,43774019,"-","CT","AC",2,0
"chr19",43772136,43774191,"-","CT","AC",17808,1
"chr19",43772136,43774296,"-","CT","AC",42,1
"chr19",43772136,43776540,"-","CT","AC",2,0
"chr19",43772136,43779721,"-","CT","AC",1,0
"chr19",43772136,43780702,"-","CT","AC",26,1
"chr19",43772136,43781226,"-","CT","AC",4,1
"chr19",43772136,43781236,"-","CT","AC",1,0
"chr19",43772152,43774208,"+","GT","AG",1,0
"chr19",43772159,43774191,"-","CT","AC",3,1
"chr19",43773640,43773785,"-","CT","AC",1,0
"chr19",43773642,43773785,"-","CT","AC",91,1
"chr19",43773642,43774191,"-","CT","AC",103,1
"chr19",43773847,43774191,"-","CT","AC",1,0
"chr19",43773892,43774191,"-","CT","AC",15,1
"chr19",43773892,43776540,"-","CT","AC",1,0
"chr19",43773900,43774191,"-","CT","AC",84,1
"chr19",43774257,43774391,"+","GC","AG",2,0
"chr19",43774257,43774406,"+","GC","AG",18,1
"chr19",43774333,43776540,"-","CT","AC",1,0
"chr19",43774333,43780702,"-","CT","AC",1,0
"chr19",43774392,43774424,"+","GT","AG",1,0
"chr19",43774392,43774541,"+","GT","AG",1,0
"chr19",43774457,43774638,"+","GC","AG",1,0
"chr19",43774458,43776540,"-","CT","AC",1,0
"chr19",43774458,43780702,"-","CT","AC",1,0
"chr19",43774579,43776562,"+","GC","AG",4,1
"chr19",43774620,43775063,"-","CT","AC",9,1
"chr19",43774620,43776176,"-","CT","AC",1,0
"chr19",43774620,43776337,"-","CT","AC",1,0
"chr19",43774620,43776540,"-","CT","AC",13777,1
"chr19",43774620,43776546,"-","CT","AC",1,0
"chr19",43774620,43779721,"-","CT","AC",2,0
"chr19",43774620,43780702,"-","CT","AC",1398,1
"chr19",43774620,43780911,"-","CT","AC",8,1
"chr19",43774620,43780925,"-","CT","AC",4,1
"chr19",43774620,43781226,"-","CT","AC",22,1
"chr19",43774620,43781236,"-","CT","AC",35,1
"chr19",43774626,43774971,"+","GT","AG",1,0
"chr19",43774664,43774709,"+","GC","AG",1,0
"chr19",43774723,43776540,"-","CT","AC",4,1
"chr19",43775066,43778559,"-","CT","GC",1,0
"chr19",43775159,43776540,"-","CT","AC",5,1
"chr19",43775159,43780702,"-","CT","AC",3,1
"chr19",43775162,43776540,"-","CT","AC",6,1
"chr19",43775162,43780702,"-","CT","AC",1,0
"chr19",43775826,43775895,"+","GT","AG",1,0
"chr19",43776120,43776176,"-","CT","AC",1,0
"chr19",43776424,43776540,"-","CT","AC",888,1
"chr19",43776424,43779271,"-","CT","AC",2,0
"chr19",43776424,43780702,"-","CT","AC",13,1
"chr19",43776424,43781226,"-","CT","AC",1,0
"chr19",43776424,43781236,"-","CT","AC",2,0
"chr19",43776438,43776540,"-","CT","AC",13,1
"chr19",43776599,43780702,"-","CT","AC",3,1
"chr19",43776637,43777251,"-","CT","AC",8,1
"chr19",43776637,43777400,"-","CT","AC",16,1
"chr19",43776637,43777467,"-","CT","AC",48,1
"chr19",43776637,43777833,"-","CT","AC",1,0
"chr19",43776637,43779271,"-","CT","AC",14,1
"chr19",43776637,43779721,"-","CT","AC",49,1
"chr19",43776637,43779822,"-","CT","AC",1,0
"chr19",43776637,43779850,"-","CT","AC",14,1
"chr19",43776637,43780122,"-","CT","AC",1,0
"chr19",43776637,43780702,"-","CT","AC",11086,1
