"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count","Expressing_Samples"
"chr11",68390053,68409913,"+","GT","AG",1,0
"chr11",68399261,68417689,"-","CT","AC",1,0
"chr11",68403700,68409913,"+","GT","AG",2,0
"chr11",68403700,68423488,"+","GT","AG",1,0
"chr11",68406814,68409913,"+","GT","AG",1900,1
"chr11",68406814,68409921,"+","GT","AG",1,0
"chr11",68406814,68413688,"+","GT","AG",1,0
"chr11",68410141,68411435,"+","GT","AG",1728,1
"chr11",68411621,68412779,"+","GT","AG",3,1
"chr11",68411621,68412915,"+","GT","AG",2,0
"chr11",68411621,68412958,"+","GT","AG",7,1
"chr11",68411621,68413079,"+","GT","AG",29,1
"chr11",68411621,68413136,"+","GT","AG",2,0
"chr11",68411621,68413688,"+","GT","AG",1660,1
"chr11",68411621,68413693,"+","GT","AG",1,0
"chr11",68411621,68423488,"+","GT","AG",4,1
"chr11",68411621,68425101,"+","GT","AG",1,0
"chr11",68411621,68446435,"+","GT","AG",1,0
"chr11",68412959,68413079,"+","GT","AG",1,0
